type,experiment,arch,imgsz,seed,epochs,best_ep,mAP50,mAP50_95,precision,recall,last_mAP50,train_box,train_cls,val_box,val_cls,test_score,zip_mb,weights,azure_job,created,notes
submission,softvote_3x_t05,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x T=0.5
submission,softvote_3x_t05_nv,,,,,,,,,,,,,,,,362.2,,,,SoftVote 3x T=0.5 + neighbor voting
submission,softvote_4model,,,,,,,,,,,,,,,,382.1,,,,SoftVote 4-model (3x+s)
submission,wbf_3x_cls20_tta,,,,,,,,,,,,,,,0.9159,362.3,,,,WBF 3x (fulldata+s123+cls20) + TTA — cls20 didn't help on test
submission,wbf_3x_fulldata_seeds_tta,,,,,,,,,,,,,,,0.9152,362.4,,,,WBF 3x fulldata seeds (default+s77+s123) + TTA
submission,wbf_2x1l_multiscale_tta,,,,,,,,,,,,,,,0.9210,319.0,,,,WBF 2x_x+1l multiscale 640+800 + TTA + absent_model_aware — 4TH PLACE
submission,wbf_4x_cls20_tta,,,,,,,,,,,,,,,,483.0,,,,WBF 4x (all+cls20) + TTA — OVER 420MB LIMIT
eval,gallery_rerank_mean,,,,,,,,,,,,,,,,,,,Gallery re-ranking with ConvNeXt mean embeddings: -0.0034 (HURTS)
eval,gallery_rerank_knn_default,,,,,,,,,,,,,,,,,,,Gallery re-ranking KNN k=5: -0.0015 (HURTS)
eval,gallery_rerank_knn_thresh0.5,,,,,,,,,,,,,,,,,,,Gallery re-ranking KNN thresh=0.5: -0.0006 (HURTS)
eval,soft_nms_gauss_s0.5,,,,,,,,,,,,,,,,,,,Soft-NMS Gaussian sigma=0.5: -0.0003 (no improvement)
eval,soft_nms_linear_t0.3,,,,,,,,,,,,,,,,,,,Soft-NMS Linear t=0.3: -0.0001 (no improvement)
submission,candidate6_3scale_weighted,,,,,,,,,,,,,,,0.9205,319.0,,,,WBF 2x_x+1l 3-scale 640+800+960 + weighted WBF [1.5 1.5 1.0]
submission,candidate7_noflip_multiscale,,,,,,,,,,,,,,,0.9200,319.4,,,,WBF noflip_s42+seed999+yolov8l multiscale 640+800 + TTA
eval,fullres_gallery_rerank,,,,,,,,,,,,,,,,,,,Full-res crop gallery re-ranking: YOLO=95.7% vs Gallery=52.4%. Gallery fixes 17 errors but breaks 979. Pre-trained features too noisy.
submission,candidate11_fulldata_noflip_l,,,,,,,,,,,,,,,0.9215,319.5,,,,WBF fulldata_x+noflip_s42+yolov8l multiscale 640+800 + TTA — NEW BEST
submission,candidate6_3scale_weighted,,,,,,,,,,,,,,,0.9205,319.0,,,,WBF 2x_x+1l 3-scale 640+800+960 + weighted WBF — slightly worse
submission,candidate7_noflip_multiscale,,,,,,,,,,,,,,,0.9200,319.4,,,,WBF noflip_s42+seed999+yolov8l multiscale — noflip swap slightly worse
submission,candidate11_fulldata_noflip_l,,,,,,,,,,,,,,,0.9215,319.5,,,,WBF fulldata_x+noflip_s42+yolov8l multiscale — NEW BEST training diversity
submission,twostage_fulldata_noflip_convnext,,,,,,,,,,,,,,,0.9109,341.6,,,,Two-stage YOLO detect + ConvNeXt classify — classifier HURTS (-0.0106 vs best)
submission,sub1_triple_arch,,,,,,,,,,,,,,,0.9190,,,,,WBF fulldata_x+nf_11x_s42(YOLO11x)+nf_l_s1 multiscale 640+800 TTA hflip WBF iou=0.6
submission,sub2_c11_yolo11x_swap,,,,,,,,,,,,,,,0.9226,,,,,WBF fulldata_x+nf_11x_s42(YOLO11x)+yolov8l_highaug multiscale 640+800 TTA hflip WBF iou=0.6 — NEW BEST
